System ID,Place name,Discriminator,Place name type,Place type,Broader Terms,Display Term,Use For,Related Terms,Scope Note
x30538,Abu Ghurab,Memphis,modern,Q,Lower Egypt~Memphis (Egypt),,,,
x113913,Abu Hariba Mosque,,modern,Q,Cairo,,,,Al Darb al-Ahmar district.
x30736,Abu Hommus,,modern,Q,Nile Delta,,,,
x40663,Abu Mina,,archaic,Q,Nile Delta,,Abu Mena,,
x103856,Abu Qir,,modern,O,Lower Egypt,,Abukir~Abou-qyr~Bay of Abu Qir,,
x30704,Abu Rawash,Memphis,modern,Q,Nile Delta~Memphis (Egypt),,Abu Ruwash,,
x108265,Abu Sighawal Pass,,modern,Q,Kharga Oasis,,Umm Sighawal Pass,,
x30342,Abu Simbel,Nubia,modern,Q,Upper Egypt~Nubia (Africa),,,,
x30540,Abuqir,,modern,K,Nile Delta,,Aboukir,,
x30308,Abusir,Memphis,modern,Q,Lower Egypt~Memphis (Egypt),,,,
x31790,Abydos,,archaic,K,Upper Egypt,,,,
x22806,Ahnas,,modern,O,Egypt,,,,
x108427,Ain Amur Road,,modern,Q,Western Desert,,,,
x108426,Ain el Tin,,modern,Q,Kharga Oasis,,,,
x108420,Ain Fakena,,modern,Q,Kharga Oasis,,,,
x109036,Ain Sina Mountain,,modern,Q,Kharga Oasis,,Gebel Ain Sina,,
x108818,Ain Umm Dabadib,historic,modern,Q,Kharga Oasis,,Umm-Ed-Dabadib,,
x30376,Akhmim,,modern,K,Upper Egypt,,Eckhmin~Ipu~Khemmis~Khent-Min~Akhmîm~Crocodilopolis~Krokodilopolis,,
x109601,Al Azhar Mosque,,modern,Q,Cairo,,,,El Hussein Square.
x110136,Al Sayida Aisha Mosque,,modern,Q,Cairo,,,,
x109635,Al-Rifai Mosque,,modern,Q,Cairo,,Al-Rifai~Al-Refai~Al-Refa'i~Royal Mosque~Refa'ie Mosque,,Midan al-Qal'a
x58829,"Alam, el-",,modern,O,Fayum,El-Alam,El-Alam,,
x21094,Alexandria,Egypt,modern,K,Nile Delta,,"Iskandariya, el-~Raqote~el-Iskandariya",,
x116128,Alexandrian Nome,,archaic,I,Lower Egypt,,Alexandria~Alexandrian~Αλεξανδρεων Χωρας Νομος,,Nome (administrative district of Ancient Egypt).
x30369,"Amarna, el-",,modern,Q,Middle Egypt,El-Amarna,Amarna~el-Amarna~Tell el-Amarna,,
x110202,Amir Khairbak Mosque,,modern,Q,Cairo,,Emir Khairbak Mosque~Emir Kairbak Mosque,,Tabbana Quarter.
x58690,Amr Mosque,,modern,Q,Fustat,,,,
x30641,"Amra, el-",,modern,Q,Upper Egypt,El-Amra,El-Amra,,
x30326,Aniba,Nubia,modern,Q,Upper Egypt~Nubia (Africa),,,,
x51265,Antaeopolite Nome,,archaic,I,Upper Egypt,,Antaeopolis~Antaeopolite~Ανταιοπολιτης Νομος,,Nome (administrative district of Ancient Egypt).
x271367,Antinoupolis,,modern,Q,Sheikh Ibada,,Antinoopolis~Antinoe,,"Sheikh Ibada is the modern village adjacent to, and now encroaching upon, the ancient city of Antinoupolis."
x51750,Aphroditopolite Nome,,archaic,I,Middle Egypt,,Aphroditopolis~Aphroditopolite~Αφροδειτοπολιτης Νομος,,Nome (administrative district of Ancient Egypt).
