System ID,Place name,Place type,Place name type,Discriminator,Display Term,Broader Terms,BM Lat,BM Lng,X and Y coordinates in metres on the Universal Transverse Mercator zone 36 (north) (EPSG 32636) projection.,Place coordinates qualifier,Scope Note,Use For
x30369,"Amarna, el-",Q,modern,,el-Amarna,"Minya, el- (Governorate)~Middle Egypt (historic)",27.613309,"30,907482","293502.2191, 3056116.1009",Centre of Amarna plain.~Centre of Amarna plain.,Geonames: https://sws.geonames.org/347585 Wikipedia: en.wikipedia.org/wiki/Amarna Pleiades: https://pleiades.stoa.org/places/149576487 Trismegistos: https://www.trismegistos.org/place/2767,Amarna~el-Amarna~Tell el-Amarna~Tall al Amarinah~Akhetaten~al-Amarna~akht atwn~amaruna~al Amarna
x30332,"Ashmunein, el-",Q,modern,,el-Ashmunein,"Minya, el- (Governorate)~Middle Egypt (historic)",27.778338,"30,802998","283514.5419, 3074583.0874",Centre of town.~Centre of town.,The modern town containing the ancient site of Hermopolis Magna.  Geonames: https://sws.geonames.org/361538  Peiades: https://pleiades.stoa.org/places/727122 (note that Pleiades combines Hermopolis Magna and Hermpolis Parva).,"Ashmounein~Hermopolis Magna~Khmun~Ashmûnein, el-~al Ashmunin~al Ashmunayn~Hermupolis~Alashmwnyn"
x30466,Atfih,Q,modern,,,Giza (Governorate)~Middle Egypt (historic),29.407729,"31,252463","330448.5297, 3254429.7034",Centre of town~Centre of town.,Geonames: https://sws.geonames.org/359749 Wikipedia: en.wikipedia.org/wiki/Atfih,Aphroditopolis~'Atfin
x27889,Beni Hasan,K,modern,,,"Minya, el- (Governorate)~Middle Egypt (historic)",27.931967,"30,876214","291025.9497, 3091480.7691",Centre of necropolis~Centre of necropolis.,Geonames: https://sws.geonames.org/359243 Wikipedia: en.wikipedia.org/wiki/Beni_Hasan Pleiades: https://pleiades.stoa.org/places/112509596 Trismegistos: https://www.trismegistos.org/place/414,Beni Hassan~Bani Hassan~Bani Hasan
x30527,Birket Qarun,G,modern,,,"Fayum, el- (Governorate)~Fayum, el- (historic)",29.470591,"30,648211","271947.8634, 3262428.3605",Centre of lake.~Centre of lake.,Geonames: https://sws.geonames.org/350714,"Moeris, Lake~Bahr Qarun~Birket Qaryn~Birkat Qaryn~Lake Karoun~Karoun~brkt qarwn~Moeris~Lake Moeris~Lake Karoon~Karoon, Lake"
x30753,Chapel of Itet,Q,modern,,,Mastaba of Itet and Nefermaat (Maidum),29.395336,"31,158521","321310.7459, 3253196.45",Chapel of Itet within the mastaba.~Chapel of Itet within the mastaba.,,Chapel of Atet~Tomb of Itet~Tomb of Atet
x30537,Chapel of Nefermaat,Q,modern,,,Mastaba of Itet and Nefermaat (Maidum),29.394646,"31,158414","321299.147, 3253120.1379",Chapel of Nefermaat within the mastaba.~Chapel of Nefermaat within the mastaba.,,Tomb of Nefermaat
x30576,Chapel of the King's Statue,Q,modern,,,"Amarna, el-",27.643251,"30,899592","292779.8553, 3059447.2191","Centre of the chapel, as located on the published plans.~Centre of the chapel, as located on the published plans.",Structure R 43.2 according to the grid/structure numbering system.,House of the King's Statue
x30412,Deir el-Bersha,Q,modern,,,"Minya, el- (Governorate)~Middle Egypt (historic)",27.753034,"30,919418","294941.7573, 3071579.3423",Centred on the rock-cut tombs of the nomarchs.~Centred on the rock-cut tombs of the nomarchs.,Geonames: https://sws.geonames.org/358288 Wikipedia: en.wikipedia.org/wiki/Deir_el-Bersha Trismegistos: https://www.trismegistos.org/place/2834,El-Bersheh~Dayr Al Barsha~Deir al Barsha~Deir al-Barsha
x30498,Dimai,Q,modern,,,"Fayum, el- (Governorate)~Fayum, el- (historic)",29.534444,"30,669122","274118.1063, 3269465.4753",Centre of excavated area.~Centre of excavated area.,Ancient town of Soknopaiou Nesos.   Geonames: https://sws.geonames.org/353218 Wikipedia: en.wikipedia.org/wiki/Soknopaiou_Nesos Pleiades: https://pleiades.stoa.org/places/737053 Trismegistos: https://www.trismegistos.org/place/2157,Soknopaiou Nesos~Dimeh~Medinet Dima~Dime
x30408,Dishasha,Q,modern,,,Beni Suef (Governorate)~Middle Egypt (historic),29.00801,"30,821934","287845.5922, 3210829.1809","Centred on the archaeological site, not the nearby town of the same name.~Centred on the archaeological site, not the nearby town of the same name.",Geonames: https://sws.geonames.org/358120 Trismegistos: https://www.trismegistos.org/place/4948,Deshasheh~Dishashah
THES265049,"Fayum, el-",D,archaic,historic,el-Fayum,Egypt~Middle Egypt (historic),29.331393,"30,801686","286543.4753, 3246708.5545",Centre of region.~Centre of region.,The historic region rather than the modern governorate.   Geonames: https://sws.geonames.org/361320 Wikipedia: en.wikipedia.org/wiki/Faiyum Trismegistos: https://www.trismegistos.org/place/1255,Faiyum~Fayoum~Fayyum~el-Faiyum~el-Fayyum~al-Faiyum~al-Fayyum~al-Fayoum
x22569,Gebel Sheikh Umbarak,Q,modern,,,"Minya, el- (Governorate)~Middle Egypt (historic)",28.13697,"30,776619","281637.9809, 3114373.9981","Centre of town based on published plans.~Centre of town, based on published plans.","Location recorded in Porter & Moss' ""Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Statues, Reliefs and Paintings IV', page 133.",Jebel Sheikh Embarak~Gebel Sheikh Mubarak~Djebel Sheikh Umbarak~Gebel Sheikh Mubarik~Sheikh Mubarik
x30590,Ghurab,Q,modern,,,"Fayum, el- (Governorate)~Fayum, el- (historic)",29.202219,"30,952144","300906.0489, 3232126.4354",Centre of site.~Centre of site.,Geonames: https://sws.geonames.org/8449931 Wikipedia: en.wikipedia.org/wiki/Gurob Trismegistos: https://www.trismegistos.org/place/720,Gurob~Gurab~Ghurob~Kom Medinet Gurob~Kom Medinet Ghurab~Medinet Ghurab~Medinet Ghourob~Mi-our~Kom Medinet Ghourob~Kom Medinet Ghourab~Medinet el-Gurob~Medinet Gurob~Medinet el-Ghourab~Medinet el-Ghourob
x30639,Girza,Q,modern,,,"Giza (Governorate)~Fayum, el- (historic)",29.445172,"31,1955","324985.109, 3258663.6599",Centre of town.~Centre of town.,Geonames: https://sws.geonames.org/355022 Pleiades: https://pleiades.stoa.org/places/737008 Trismegistos: https://www.trismegistos.org/place/1670,Gerza~El-Gerzeh~Gerzeh~el-Gerzeh~el Gerzeh~Jirzah
x30597,Great Aten Temple,Q,modern,Amarna,,"Amarna, el-",27.650434,"30,900849","292917.4246, 3060241.0976",Centre of the temple.~Centre of the temple.,Wikipedia: en.wikipedia.org/wikiGreat_Temple_of_the_Aten,
x30593,Great Palace,Q,modern,el-Amarna,,"Amarna, el-",27.647521,"30,894689","292304.1064, 3059928.6854","Centre of the Palace, as located on the published plans.~Centre of the Palace, as located on the published plans.",,
x113689,Haraga,K,modern,,,"Beni Suef (Governorate)~Fayum, el- (historic)",29.206741,"31,000854","305651.2158, 3232545.9591",Centre of town.~Centre of town.,Geonames: https://sws.geonames.org/361206 Wikipedia: en.wikipedia.org/wiki/Harageh Trismegistos: https://www.trismegistos.org/place/4988,Harageh~Qaryat al-Harajah~el-Haraga~el Haraga~el-Harageh~el Harageh~el-Herageh~el Herageh
x30365,Hawara,Q,modern,,,"Fayum, el- (Governorate)~Fayum, el- (historic)",29.27617,"30,898552","295841.4809, 32404149727",Centre of archaeological area.~Centre of archaeological area.,Wikipedia: en.wikipedia.org/wiki/Hawara Pleiades: https://pleiades.stoa.org/places/736918 Trismegistos: https://www.trismegistos.org/place/747,Haueris
