System ID,Place name,Discriminator,Place name type,Place type,Broader Terms,Display Term,Use For,Related Terms,Scope Note,GeoNames Score,GeoNames URI,GeoNames toponymName,GeoNames Lat,GeoNames Lng,GeoNames fcodeName,GeoNames altNames,Wikipedia Score,Wikipedia URI,Wikipedia Title,Wikipedia Lat,Wikipedia Lng,Wikipedia Summary,Wikipedia Feature,Pleiades Score,Pleiades URI,Pleiades Title,Pleiades Lat,Pleiades Lng,Pleiades Description,Pleiades Names,TM Score,TM URI,TM Standard Name,TM Full Name,TM Lat,TM Lng
x30538,Abu Ghurab,Memphis,modern,Q,Lower Egypt~Memphis (Egypt),,,,,83,https://sws.geonames.org/362662,Ḩawḑ Abū Ghurāb,30.93889,32.56667,oasis(-es),Ḩawḑ Abū Ghurāb|Hawd Abu Ghurab|Hod Abu Ghurab|Ḥôḍ Abu Ghurâb,84,en.wikipedia.org/wiki/Abu_Gorab,Abu Gorab,29.903416666666665,31.197833333333335,"Abu Gorab (also known as Abu Gurab, Abu Ghurab and Abū Jirāb) is a locality in Egypt situated south of Cairo, between Saqqarah and Al-Jīzah, about north of Abusir, on the edge of the desert plateau on the western bank of the Nile (...)",city,,,,,,,,48,https://www.trismegistos.org/place/2781,Abu Gurab,"Egypt, L01 - Abu Gurab",29.9,31.2
x113913,Abu Hariba Mosque,,modern,Q,Cairo,,,,Al Darb al-Ahmar district.,,,,,,,,,,,,,,,,,,,,,,,,,,,
x30736,Abu Hommus,,modern,Q,Nile Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x40663,Abu Mina,,archaic,Q,Nile Delta,,Abu Mena,,,100,https://sws.geonames.org/362358,Abū Mīnā,30.85,29.66667,ruin(s),Abū Mīnā|Abu Mina|Abu Manna|Abu Mina Saint Menas|Abu Mîna Saint Menas|Abumna|Abumnah,88,en.wikipedia.org/wiki/Abu_Mena,Abu Mena,30.84105,29.66349,"Abu Mena (also spelled Abu Mina; ) was a town, monastery complex and Christian pilgrimage center in Late Antique Egypt, about southwest of Alexandria. Its remains were designated a World Heritage Site in 1979. There are very few standing remains, but the foundations of most major buildings, such as (...)",landmark,,,,,,,,44,https://www.trismegistos.org/place/2711,Abu Mena,"Egypt, Western coast - Abu Mena",30.841158,29.662742
x103856,Abu Qir,,modern,O,Lower Egypt,,Abukir~Abou-qyr~Bay of Abu Qir,,,100,https://sws.geonames.org/362288,Abū Qīr,31.31104,30.06121,populated place,Abū Qīr|Abu Qir|Abou Kir|Aboukir|Abukir|abw qyr|أبو قير,100,en.wikipedia.org/wiki/Abu_Qir,Abu Qir,31.3166,30.0666,"Abu Qir (Abu Qīr, or), formerly also spelled Abukir or Aboukir, is a town on the Mediterranean coast of Egypt, near the ruins of ancient Canopus and northeast of Alexandria by rail. It is located on Abu Qir Peninsula, with Abu Qir Bay to the east.  (...)",,74,https://pleiades.stoa.org/places/195443086,Abu Sir,29.896115,31.20404,An Old Kingdom necropolis serving the ancient Egyptian city of Memphis.,ابوصير|Abu Sir|Abusir|Abū Şīr,82,https://www.trismegistos.org/place/4868,Abu Qirqas,"Egypt, U15 - Abu Qirqas",27.933333,30.833333
x30704,Abu Rawash,Memphis,modern,Q,Nile Delta~Memphis (Egypt),,Abu Ruwash,,,,,,,,,,100,en.wikipedia.org/wiki/Abu_Rawash,Abu Rawash,30.03333,31.06667,"Abu Rawash (also spelled Abu Roach, Abu Roash; ), north of Giza, is the site of Egypt's most northerly pyramid, also known as the lost pyramid – the mostly ruined Pyramid of Djedefre, the son and successor of Khufu (...)",city,,,,,,,,100,https://www.trismegistos.org/place/2726,Abu Rawash,"Egypt, L01 - Abu Rawash",30.033333333333335,31.066666666666666
x108265,Abu Sighawal Pass,,modern,Q,Kharga Oasis,,Umm Sighawal Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x30342,Abu Simbel,Nubia,modern,Q,Upper Egypt~Nubia (Africa),,,,,100,https://sws.geonames.org/362040,Temple of Abu Simbel,22.33333,31.61667,ruin(s),Temple of Abu Simbel|Aboe Simbel|Abu Simbel|Abu Simbel - abw snbl|Abu Simbel - أبو سنبل|Abu Simbel temples|Abu Simbil|Abu Sunbul|Abu Szimbel-i templomok|Abu-Simbel|Abú Simbel|Abū Sunbul|Ebu Simbel|Kuil Abu Simbel|Tempel von Abu Simbel|Temple d'Abou Simbel|Temple d’Abou Simbel|Temple of Abu Simbil|Templen i Abu Simbel|Temples d'Abou Simbel|a bu xin bai lei shen miao|abw smbl|abwsmbl|mqdsy ʼbw symbl|Абу Симбел|Абу-Симбел|Абу-Сімбел|מקדש אבו סימבל|מקדשי אבו סימבל|أبو سمبل|ابوسمبل|アブ・シンベル神殿|阿布辛拜勒神廟,71,en.wikipedia.org/wiki/Abu_Simbel_temples,Abu Simbel temples,22.337076,31.626087,"The Abu Simbel temples are two massive rock temples at Abu Simbel (in Arabic), a village in Nubia, southern Egypt, near the border with Sudan. They are situated on the western bank of Lake Nasser, about 230 km southwest of Aswan (about 300 km by road) (...)",landmark,100,https://pleiades.stoa.org/places/721417202,Abu Simbel,22.33644375,31.62656425,"The site of two temples constructed by Ramesses II, one dedicated to the triad of Amun, Ra-Horakhty, and Ptah, as well as the deified Ramesses, and another dedicated to Hathor and the pharaoh's wife Nefertari. The temple was relocated between 1964 and 1968 to prevent its submersion under Lake Nasser after the construction of the Aswan High Dam.",Abu Simbel,45,https://www.trismegistos.org/place/33,Amouda,"Egypt, Aethiopia - Amouda (Abu Simbel)",22.33644375,31.62656425
x30540,Abuqir,,modern,K,Nile Delta,,Aboukir,,,,,,,,,,53,en.wikipedia.org/wiki/Kafr_Abdu,Kafr Abdu,31.224876,29.954585,"Kafr Abdu is a neighborhood in Alexandria, Egypt. It is chiefly a residential neighborhood for wealthier Egyptians, including professionals, and foreigners living in Alexandria. During the Revolution of 2011, the Egyptian Army cordoned the neighborhood off, only allowing residents of the area into (...)",city,64,https://pleiades.stoa.org/places/195443086,Abu Sir,29.896115,31.20404,An Old Kingdom necropolis serving the ancient Egyptian city of Memphis.,ابوصير|Abu Sir|Abusir|Abū Şīr,42,https://www.trismegistos.org/place/4827,Abusir,"Egypt, 00 - Abusir",,
x30308,Abusir,Memphis,modern,Q,Lower Egypt~Memphis (Egypt),,,,,100,https://sws.geonames.org/362069,Ahrāmāt Abū Şīr,29.9,31.2,pyramid,Ahrāmāt Abū Şīr|Ahramat Abu Sir|Aboesir|Abousir|Abu Sir Pyramids|Abu Sîr Pyramids|Abusir|Abusir al-Melek|Abusirin pyramidit|Abusîr|Abúsír,100,en.wikipedia.org/wiki/Abusir,Abusir,29.91667,31.23333,"Abusir ( ; Egyptian pr wsjr; ', ""the House or Temple of Osiris"";) is the name given to an Egyptian archaeological locality – specifically, an extensive necropolis of the Old Kingdom period, together with later additions – in the vicinity of the modern capital Cairo (...)",,92,https://pleiades.stoa.org/places/195443086,Abu Sir,29.896115,31.20404,An Old Kingdom necropolis serving the ancient Egyptian city of Memphis.,ابوصير|Abu Sir|Abusir|Abū Şīr,100,https://www.trismegistos.org/place/4827,Abusir,"Egypt, 00 - Abusir",,
x31790,Abydos,,archaic,K,Upper Egypt,,,,,100,https://sws.geonames.org/361885,Ma‘bad Abīdūs,26.18951,31.90799,archaeological/prehistoric site,Ma‘bad Abīdūs|Ma`bad Abidus|Abido|Abidos|Abidus Temple|Abydos|Abydosas|a bai duo si|abydws|Абидос|Абідос|אבידוס|أبيدوس|معبد أبيدوس|阿拜多斯,67,en.wikipedia.org/wiki/Abydos%2C_Egypt,"Abydos, Egypt",26.1833,31.9166,"Abydos is one of the oldest cities of ancient Egypt, and also of the eighth nome in Upper Egypt, of which it was the capital city. It is located about west of the Nile at latitude 26° 10' N, near the modern Egyptian towns of el-'Araba el Madfuna and al-Balyana (...)",city,71,https://pleiades.stoa.org/places/756512,Abydos/Ebot,26.1858205,31.917911500000002,Ancient Egyptian city and burial place of its first kings. Primary cult place of the god Osiris.,Abydos|Ebot,100,https://www.trismegistos.org/place/34,Abydos,"Egypt, U08 - Abydos",26.185099,31.917622
x22806,Ahnas,,modern,O,Egypt,,,,,,,,,,,,,,,,,,,79,https://pleiades.stoa.org/places/92116,Anas,,,"An ancient place, cited: BAtlas 9 unlocated Anas Ins.",Anas,,,,,,
x108427,Ain Amur Road,,modern,Q,Western Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x108426,Ain el Tin,,modern,Q,Kharga Oasis,,,,,100,https://sws.geonames.org/347279,‘Ayn aţ Ţīn,25.44188,30.63195,spring(s),‘Ayn aţ Ţīn|`Ayn at Tin|`Ain el Tin|`Ayn Harran as Saghirah|‘Ayn Ḩarrān aş Şaghīrah|‘Aîn el Ṭin,,,,,,,,,,,,,,,,,,,,
x108420,Ain Fakena,,modern,Q,Kharga Oasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x109036,Ain Sina Mountain,,modern,Q,Kharga Oasis,,Gebel Ain Sina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x108818,Ain Umm Dabadib,historic,modern,Q,Kharga Oasis,,Umm-Ed-Dabadib,,,91,https://sws.geonames.org/347076,‘Ayn Umm ad Dabādīb,25.7667,30.42093,spring(s),‘Ayn Umm ad Dabādīb|`Ayn Umm ad Dabadib|`Ain Umm el-Dabadib|عين أم الدباديب|‘Ain Umm el-Dabâdîb,,,,,,,,,,,,,,,,,,,,
x30376,Akhmim,,modern,K,Upper Egypt,,Eckhmin~Ipu~Khemmis~Khent-Min~Akhmîm~Crocodilopolis~Krokodilopolis,,,100,https://sws.geonames.org/361661,Akhmīm,26.5622,31.74566,populated place,Akhmīm|Akhmim|Akhmun|Akhmûn|Ekhmin|Khemmis|Paloupolis|Panopolis|Panospolis|akhmym|Ахмим|أخميم,100,en.wikipedia.org/wiki/Akhmim,Akhmim,26.56416666666667,31.746111111111112,"Akhmim (; from Egyptian: Khent-min&#x202f;; Sahidic ') is a city in the Sohag Governorate of Upper Egypt. Referred to by the ancient Greeks as Khemmis, Chemmis and Panopolis, it is located on the east bank of the Nile, 4 miles to the northeast of Sohag.  (...)",city,,,,,,,,43,https://www.trismegistos.org/place/56884,Hermaion,"Egypt, U09 - Hermaion",,
x109601,Al Azhar Mosque,,modern,Q,Cairo,,,,El Hussein Square.,100,https://sws.geonames.org/7913965,Jāmi‘ al Azhar,30.04559,31.2627,mosque,Jāmi‘ al Azhar|Jami` al Azhar|Al-Azhar Mosque|Al-Azhar University|Azhar|Jami` al Azhar Mosque|Jāmi‘ al Azhar Mosque|Mechet' al'-Azkhar|Mezquita de al-Azhar|Mosquee Al-Azhar|Mosquée Al-Azhar|al-Azhar-Moschee|gami' al-Azhar|mosquee d'el-Azhar|mosquée d'el-Azhar|ğāmiʿ al-Azhar|Мечеть аль-Азхар|جامع الأزهر,100,en.wikipedia.org/wiki/Al-Azhar_Mosque,Al-Azhar Mosque,30.0457,31.2627,"Al-Azhar Mosque ((Egyptian), ""The Most Resplendent Congregational Mosque""), also simply in Egypt Al-Azhar , is an Egyptian mosque in Islamic Cairo. Al-Mu'izz li-Din Allah of the Fatimid dynasty commissioned its construction for the newly established capital city in 970 (...)",landmark,,,,,,,,,,,,,
x110136,Al Sayida Aisha Mosque,,modern,Q,Cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x109635,Al-Rifai Mosque,,modern,Q,Cairo,,Al-Rifai~Al-Refai~Al-Refa'i~Royal Mosque~Refa'ie Mosque,,Midan al-Qal'a,,,,,,,,100,en.wikipedia.org/wiki/Al-Rifai_Mosque,Al-Rifai Mosque,30.03285,31.25699,,landmark,,,,,,,,,,,,,
x58829,"Alam, el-",,modern,O,Fayum,El-Alam,El-Alam,,,82,https://sws.geonames.org/361602,Jabal Ra’s ‘Alam,24.90593,34.70779,hill,Jabal Ra’s ‘Alam|Jabal Ra's `Alam|Ra's al `Alam|Ras `Alam|Ras el-`Alam|Ras ‘Alam|Ra’s al ‘Alam|Râs el-‘Alam|جبل رأس علم,59,en.wikipedia.org/wiki/Marsa_Alam,Marsa Alam,25.072499999999998,34.89333333333333,"Marsa Alam is a town in south-eastern Egypt, located on the western shore of the Red Sea. It is currently seeing fast increasing popularity as a tourist destination and development following the opening of Marsa Alam International Airport in 2003 (...)",city,,,,,,,,50,https://www.trismegistos.org/place/13723,El-Alam,"Egypt, 00 - El-Alam",,
