Place_Name,Notes_on_location,System_ID,BM Lat,BM Lng,UTM36N_X,UTM36N_Y
Abu Simbel,Original location before creation of Lake Nasser.,x30342,"22,33543475730","31,62632284940","358534,05620000000","2470600,19520000000"
Aniba,Original location before creation of Lake Nasser.,x30326,"22,65746840820","31,98645153370","395865,92480000000","2505957,26610000000"
Tushka,Original location before creation of Lake Nasser.,x107374,"22,50779383650","31,87457561880","384245,56030000000","2489469,59920000000"
Temple of Ramses II,Original location before creation of Lake Nasser.,x30762,"22,33520741810","31,62566482870","358466,05220000000","2470575,64350000000"
Abydos,Centre of archaeological area.,THES264992,"26,18753941420","31,91863026950","391947,50630000000","2896902,93610000000"
Chapel of Intef,"Exact location unknown, approximate position on the Terrace of the Great God.",x30733,"26,18877197520","31,90941303060","391027,58130000000","2897047,15850000000"
Osireion,Centre of structure.,x30355,"26,18400353500","31,91840739330","391921,97170000000","2896511,49240000000"
Shunet el-Zebib,Centre of the structure,x30433,"26,18948581300","31,90807101480","390894,14100000000","2897127,34980000000"
Temple of Ahmose,Centre of the temple.,x30607,"26,16527999990","31,93166999960","393230,27270000000","2894426,73380000000"
Temple of Osiris,Centre of the Great Osiris Temple.,x30429,"26,19231287100","31,91069823760","391159,30110000000","2897438,26590000000"
Umm el-Qaab,Centre of archaeological area.,x30420,"26,17484336740","31,90760300890","390833,72950000000","2895505,96280000000"
Temple of Ramses II,Centre of temple.,x30316,"26,18652602160","31,91640894350","391724,59410000000","2896792,54500000000"
Akhmim,Centre of town.,x30376,"26,56545718730","31,74627863070","375131,23370000000","2938918,14700000000"
Armant,Centre of the archaeological site.,x29001,"25,62226723520","32,54432846880","454252,30300000000","2833932,07980000000"
Aswan,Centre of the historic town.,x22601,"24,08840271640","32,89609856460","489439,30110000000","2664017,91400000000"
"Hissaya, al-","Approximate position, as located on the published plans.",x30445,"24,86568464100","32,85556515200","485409,30660000000","2750083,06610000000"
Beit Khallaf,Centre on the historic village.,x30430,"26,29855936010","31,80108201330","380314,65640000000","2909302,92880000000"
Deir Balyza,Centre of the town.,x30663,"27,01560497720","31,24782510760","326165,61280000000","2989371,25270000000"
Deir Tasa,Centre of the archaeological site on the desert edge.,x30502,"27,06503658020","31,40991913260","342318,74110000000","2994634,38450000000"
Deir Manaos,Centre of the monastery.,x30665,"25,25700305470","32,54734938620","454418,32620000000","2793482,64880000000"
Demhid,Original location before creation of Lake Nasser.,x109570,"23,73624895860","32,90462537120","490279,67300000000","2625029,38510000000"
Wadi Qubanat el-Qirud,Centre of Wadi,x30777,"25,73407731350","32,57506894310","457378,35930000000","2846303,74830000000"
Mostagedda,Centre of archaeological site.,x30491,"27,07300348330","31,39515189950","340865,36830000000","2995535,59020000000"
"Badari, el-",Centred on the archaeological site not the nearby town of the same name.,x30492,"26,99708678060","31,45554261990","346751,43340000000","2987050,33740000000"
"Mahasna, el-",Centre of town.,x30461,"26,27656147700","31,82922753250","383102,55080000000","2906840,64530000000"
"Qasr Wa-l-Saiyad, el-",Centre of town.,x30427,"26,06209589740","32,30460101130","430441,66370000000","2882746,05640000000"
Dendara,Centre of archaeological site.,x28990,"26,13950214300","32,66966267820","466979,64240000000","2891174,90490000000"
"Ballas, el-",Centred on the archaeological site not the nearby town of the same name.,x30542,"26,01008563880","32,74747581200","474730,07590000000","2876825,18080000000"
"Salmiya, el-","No longer appears on any maps, PM V shows it slightly west of Tod.",x30378,"25,57199269300","32,52953967430","452747,79240000000","2828369,87140000000"
Esna,Centre of archaeological area.,x29003,"25,29348533760","32,55634036530","455337,08130000000","2797519,48590000000"
Elkab,Centre of ancient settlement.,x30554,"25,12069266970","32,79840370070","479676,86620000000","2778327,16200000000"
Edfu,Centre of archaeological area.,x22737,"24,97728666420","32,87279398040","487161,31180000000","2762438,75400000000"
Asyut,Centre of the historic town.,x30335,"27,17390037990","31,17556689190","319249,86760000000","3007011,08780000000"
Deir Rifa,Centre of the archaeological site.,x30518,"27,07115985920","31,18773752210","320291,67480000000","2995610,59600000000"
Qaw el-Kebir,"Centre of the desert necropolis, rather than the town in the Nile valley.",x30493,"26,88836436210","31,51571131380","352581,06380000000","2974934,37020000000"
Gebel el-Silsila,Centre.,x30877,"24,64231679660","32,93318391860","493238,21950000000","2725344,58800000000"
Gebelein,Centre of archaeological area.,x29005,"25,49154048010","32,48622596260","448362,93460000000","2819476,77320000000"
Nag el-Ghabat,Centre of historic village.,x30507,"26,16873000020","31,94691999980","394757,57340000000","2894796,40390000000"
Girga,Centre of town.,x29024,"26,34072864720","31,89220315190","389451,84630000000","2913892,50740000000"
Hiw,Centre of town.,x30413,"26,01979132530","32,28470542920","428425,83510000000","2878071,60450000000"
Kom el-Ahmar,Centre of archaeological site.,x30366,"25,09751797900","32,78013079730","477830,57140000000","2775763,88790000000"
Khizam,Where town intersects desert edge.,x30460,"25,77451478890","32,77339840920","477279,08650000000","2850732,70280000000"
Hezab,Centre of town.,x30635,"25,84742946850","32,83102933590","483068,01120000000","2858798,68010000000"
Kom Ombo,Centre of archaeological area around the temple.,x29021,"24,45216217120","32,92882613510","492786,34660000000","2704290,52030000000"
Matmar,Centre of archaeological site.,x30503,"27,10525308710","31,34439974940","335879,06450000000","2999173,65220000000"
Nag el-Madamud,Centre of archaeological site.,x30336,"25,73379719570","32,70959540540","470871,71870000000","2846236,15410000000"
Nag el-Deir,Centre of archaeological site.,x30735,"26,36443414500","31,89985946450","390238,31680000000","2916511,63210000000"
Naqada,Centre of town.,x29017,"25,91323138590","32,72576901760","472535,40780000000","2866103,54400000000"
Philae,Original location before creation of Lake Nasser.,x22574,"24,02130877470","32,88941722180","488754,35490000000","2656590,13730000000"
Qena,Centre of town.,x22915,"26,16067295700","32,71971984770","471988,41430000000","2893507,75800000000"
Qift,Centre of town.,x30406,"25,99721213840","32,81594142790","481579,39300000000","2875388,06980000000"
Sohag,Centre of the town.,x22877,"26,54769953650","31,69759114860","370261,54460000000","2936999,52790000000"
Sumenu,Centre of town (Mohamed Al Qibliyya).,x30551,"25,53454733770","32,46543179010","446292,10950000000","2824247,55260000000"
Tahta,Centre of town.,x22759,"26,76729373660","31,49586567570","350450,79370000000","2961545,50930000000"
Tod,Centre of archaeological site.,x30564,"25,58315620670","32,53330274180","453130,10110000000","2829604,77980000000"
Qus,Centre of town.,x22596,"25,91509101690","32,76146037470","476110,33250000000","2866302,49490000000"
Asasif,Centre of the archaeological area.,x30358,"25,73490754030","32,61127824830","461010,55000000000","2846384,49130000000"
Biban el-Muluk,Centre of the archaeological area.,x30304,"25,74026089030","32,60210970870","460092,70860000000","2846980,06960000000"
Biban el-Harim,Centre of the archaeological area.,x30321,"25,72727429760","32,59215084300","459089,40660000000","2845544,96670000000"
Deir el-Bahri,Centre of the archaeological area.,x30327,"25,73809450480","32,60673856480","460556,25950000000","2846738,76910000000"
Deir el-Medina,Centre of the archaeological area.,x30318,"25,72817443120","32,60143248840","460020,74180000000","2845641,80440000000"
Dra Abu el-Naga,Centre of archaeological area.,x30313,"25,73640335350","32,61985285280","461871,08260000000","2846547,63370000000"
"Malqata, el-",Centre of archaeological site.,x30591,"25,71398415080","32,59285247330","459155,24770000000","2844072,98300000000"
Karnak,Centre of Amun precinct.,x27307,"25,71778316340","32,65799584230","465691,52750000000","2844475,15040000000"
Luxor,Centre of governorate.,x27052,"25,69938828390","32,63906144920","463786,52370000000","2842443,14640000000"
Medinet Habu,Centre of temple.,x28994,"25,71970961990","32,60101459010","459975,98980000000","2844704,52810000000"
Ramesseum,Centre of temple.,x30306,"25,72733321300","32,61059033170","460939,07510000000","2845545,90480000000"
Cache of the Priests of Montu,Centre of the cache.,x30633,"25,73792030450","32,60671191380","460553,52890000000","2846719,48590000000"
Memnonia,Approximate position to east of Medinet Habu.,x31181,"25,72042978950","32,60109466880","459984,26390000000","2844784,25620000000"
Mortuary Temple of Nebwennef,"Centred on the temple, as located on published plans.",x30495,"25,73229016980","32,62553055910","462439,27140000000","2846090,50670000000"
Sheikh Abd el-Qurna,Centre of the archaeological area.,x30388,"25,73323440320","32,60752527740","460633,56590000000","2846200,32030000000"
Tomb of Pairi,Centre of the tomb TT139 court.,x30727,"25,73089500460","32,60836709180","460717,23450000000","2845941,00160000000"
Temple of Tausret,Centre of temple.,x30407,"25,72618945530","32,60739026150","460617,70240000000","2845420,19470000000"
Temple of Thutmose IV,Centre of temple.,x30697,"25,72685250430","32,60873857520","460753,16940000000","2845493,21990000000"
Temple of Amenhotep II,Centre of the temple.,x30523,"25,72860679190","32,61164487110","461045,26990000000","2845686,63070000000"
Temple of Amenhotep III,Centre of the temple.,x30711,"25,72145779660","32,60863929540","460741,43950000000","2844895,83360000000"
Temple of Isis,Centre of the temple.,x30354,"25,69772851680","32,57896063810","457755,87510000000","2842277,18690000000"
Tomb of Ankhhor,Centre of tomb.,x30415,"25,73358746770","32,61437392140","461320,62700000000","2846237,39380000000"
Tomb of Djehutymose,Tomb entrance.,x30520,"25,73219346800","32,61265699380","461147,95960000000","2846083,52500000000"
Elephantine,Centre of archaeological area.,x29006,"24,08538621340","32,88595804990","488408,33170000000","2663684,74100000000"
Thebes,Approximate centre of region.,x30299,"25,70919494410","32,62529252630","462408,13650000000","2843532,98830000000"
Temple of Mut,Centre of the temple.,x30309,"25,71180703330","32,65550903930","465440,33310000000","2843813,99880000000"
"Khokha, el-",Centre of archaeological area.,THES264994,"25,73275356370","32,61253766160","461136,17210000000","2846145,58580000000"
Tomb of Ramses VII,Tomb entrance.,x30696,"25,74238419370","32,60199236650","460081,64880000000","2847215,24270000000"
Tomb of Ramses VI,"Centre of the rear part of tomb KV9, chambers F-K constructed.",x30617,"25,74035173490","32,60079503910","459960,88000000000","2846990,52820000000"
Tomb of Tutankhamun,Tomb entrance.,x30517,"25,74031263470","32,60147697560","460029,26390000000","2846985,99140000000"
Tomb of Ramses IX,Tomb entrance.,x30387,"25,74056604810","32,60182318720","460064,07300000000","2847013,94990000000"
Tomb of Merenptah,Tomb entrance.,x30647,"25,74071059960","32,60111767650","459993,36010000000","2847030,17150000000"
Temple of Mentuhotep,Centre of the temple.,x30328,"25,73731302700","32,60627932210","460509,93920000000","2846652,36460000000"
Tomb of Mentuhotep,Centre of tomb.,x30447,"25,73749386570","32,60573680590","460455,58430000000","2846672,55340000000"
Tomb of the Three Princesses,Tomb entrance.,x30778,"25,73914628290","32,57847817550","457722,11100000000","2846863,99700000000"
Tomb of Hatshepsut,Tomb entrance.,x30521,"25,73884191070","32,60334056940","460215,68930000000","2846822,55810000000"
Tomb of Thutmose III,Tomb entrance.,x30467,"25,73855637520","32,60296937340","460178,36340000000","2846791,04950000000"
